round,red_count,green_count,blue_count
0,72,50,88
300,32,142,36
600,23,164,23
900,150,35,25
1200,162,27,21
1500,129,41,40
1800,173,10,27
2100,151,19,40
2400,174,23,13
2700,150,40,20
3000,18,32,160
3300,23,5,182
3600,33,12,165
3900,23,11,176
4200,9,33,168
4500,149,35,26
4800,169,13,28
5100,168,22,20
5400,169,19,22
5700,151,38,21
6000,167,13,30
6300,133,51,26
6600,18,34,158
6900,27,56,127
7200,28,41,141
7500,61,139,10
7800,15,165,30
8100,32,16,162
8400,19,168,23
8700,23,170,17
9000,134,48,28
9300,168,20,22
9600,179,13,18
9900,161,28,21
