round,red_count,green_count,blue_count
0,62,78,70
300,28,17,165
600,148,32,30
900,51,29,130
1200,93,53,64
1500,150,44,16
1800,15,21,174
2100,98,60,52
2400,10,74,126
2700,48,65,97
3000,18,147,45
3300,18,143,49
3600,29,81,100
3900,23,73,114
4200,24,30,156
4500,34,147,29
4800,26,159,25
5100,150,28,32
5400,44,135,31
5700,49,105,56
6000,39,136,35
6300,31,63,116
6600,75,117,18
6900,84,55,71
7200,45,31,134
7500,36,111,63
7800,62,131,17
8100,121,30,59
8400,180,14,16
8700,142,33,35
9000,75,87,48
9300,49,129,32
9600,56,50,104
9900,164,22,24
